class_name,source_image_name,output_image_name,source_image_path,source_label_path,output_image_path,output_label_path,diversity_score,selected_rank,feature_backbone,selection_method
D00,D00_D00_longitudinal_crack_China_MotorBike_000157_prompt01_seed4662467426203180555_00001_.png,D00_D00_longitudinal_crack_China_MotorBike_000157_prompt01_seed4662467426203180555_00001_.png,/root/autodl-tmp/road_damage_exp/screening/four_class_structure_candidates/D00/images/D00_D00_longitudinal_crack_China_MotorBike_000157_prompt01_seed4662467426203180555_00001_.png,/root/autodl-tmp/road_damage_exp/screening/four_class_structure_candidates/D00/labels/D00_D00_longitudinal_crack_China_MotorBike_000157_prompt01_seed4662467426203180555_00001_.txt,/root/autodl-tmp/road_damage_exp/screening/lpips_200/images/D00_D00_longitudinal_crack_China_MotorBike_000157_prompt01_seed4662467426203180555_00001_.png,/root/autodl-tmp/road_damage_exp/screening/lpips_200/labels/D00_D00_longitudinal_crack_China_MotorBike_000157_prompt01_seed4662467426203180555_00001_.txt,0.0,1,lpips_alex,Greedy Farthest Point Sampling
D00,D00_D00_longitudinal_crack_China_MotorBike_001445_prompt03_seed2089746339203728333_00001_.png,D00_D00_longitudinal_crack_China_MotorBike_001445_prompt03_seed2089746339203728333_00001_.png,/root/autodl-tmp/road_damage_exp/screening/four_class_structure_candidates/D00/images/D00_D00_longitudinal_crack_China_MotorBike_001445_prompt03_seed2089746339203728333_00001_.png,/root/autodl-tmp/road_damage_exp/screening/four_class_structure_candidates/D00/labels/D00_D00_longitudinal_crack_China_MotorBike_001445_prompt03_seed2089746339203728333_00001_.txt,/root/autodl-tmp/road_damage_exp/screening/lpips_200/images/D00_D00_longitudinal_crack_China_MotorBike_001445_prompt03_seed2089746339203728333_00001_.png,/root/autodl-tmp/road_damage_exp/screening/lpips_200/labels/D00_D00_longitudinal_crack_China_MotorBike_001445_prompt03_seed2089746339203728333_00001_.txt,0.7820677161216736,2,lpips_alex,Greedy Farthest Point Sampling
D00,D00_D00_longitudinal_crack_China_MotorBike_000486_prompt10_seed5193649382915790469_00001_.png,D00_D00_longitudinal_crack_China_MotorBike_000486_prompt10_seed5193649382915790469_00001_.png,/root/autodl-tmp/road_damage_exp/screening/four_class_structure_candidates/D00/images/D00_D00_longitudinal_crack_China_MotorBike_000486_prompt10_seed5193649382915790469_00001_.png,/root/autodl-tmp/road_damage_exp/screening/four_class_structure_candidates/D00/labels/D00_D00_longitudinal_crack_China_MotorBike_000486_prompt10_seed5193649382915790469_00001_.txt,/root/autodl-tmp/road_damage_exp/screening/lpips_200/images/D00_D00_longitudinal_crack_China_MotorBike_000486_prompt10_seed5193649382915790469_00001_.png,/root/autodl-tmp/road_damage_exp/screening/lpips_200/labels/D00_D00_longitudinal_crack_China_MotorBike_000486_prompt10_seed5193649382915790469_00001_.txt,0.6788182258605957,3,lpips_alex,Greedy Farthest Point Sampling
D00,D00_D00_longitudinal_crack_China_MotorBike_001865_prompt01_seed8038329669872996408_00001_.png,D00_D00_longitudinal_crack_China_MotorBike_001865_prompt01_seed8038329669872996408_00001_.png,/root/autodl-tmp/road_damage_exp/screening/four_class_structure_candidates/D00/images/D00_D00_longitudinal_crack_China_MotorBike_001865_prompt01_seed8038329669872996408_00001_.png,/root/autodl-tmp/road_damage_exp/screening/four_class_structure_candidates/D00/labels/D00_D00_longitudinal_crack_China_MotorBike_001865_prompt01_seed8038329669872996408_00001_.txt,/root/autodl-tmp/road_damage_exp/screening/lpips_200/images/D00_D00_longitudinal_crack_China_MotorBike_001865_prompt01_seed8038329669872996408_00001_.png,/root/autodl-tmp/road_damage_exp/screening/lpips_200/labels/D00_D00_longitudinal_crack_China_MotorBike_001865_prompt01_seed8038329669872996408_00001_.txt,0.6366589069366455,4,lpips_alex,Greedy Farthest Point Sampling
D00,D00_D00_longitudinal_crack_China_MotorBike_001901_prompt05_seed4017106378020262128_00001_.png,D00_D00_longitudinal_crack_China_MotorBike_001901_prompt05_seed4017106378020262128_00001_.png,/root/autodl-tmp/road_damage_exp/screening/four_class_structure_candidates/D00/images/D00_D00_longitudinal_crack_China_MotorBike_001901_prompt05_seed4017106378020262128_00001_.png,/root/autodl-tmp/road_damage_exp/screening/four_class_structure_candidates/D00/labels/D00_D00_longitudinal_crack_China_MotorBike_001901_prompt05_seed4017106378020262128_00001_.txt,/root/autodl-tmp/road_damage_exp/screening/lpips_200/images/D00_D00_longitudinal_crack_China_MotorBike_001901_prompt05_seed4017106378020262128_00001_.png,/root/autodl-tmp/road_damage_exp/screening/lpips_200/labels/D00_D00_longitudinal_crack_China_MotorBike_001901_prompt05_seed4017106378020262128_00001_.txt,0.5908448696136475,5,lpips_alex,Greedy Farthest Point Sampling
D00,D00_D00_longitudinal_crack_China_MotorBike_000725_prompt07_seed1787020838169289035_00001_.png,D00_D00_longitudinal_crack_China_MotorBike_000725_prompt07_seed1787020838169289035_00001_.png,/root/autodl-tmp/road_damage_exp/screening/four_class_structure_candidates/D00/images/D00_D00_longitudinal_crack_China_MotorBike_000725_prompt07_seed1787020838169289035_00001_.png,/root/autodl-tmp/road_damage_exp/screening/four_class_structure_candidates/D00/labels/D00_D00_longitudinal_crack_China_MotorBike_000725_prompt07_seed1787020838169289035_00001_.txt,/root/autodl-tmp/road_damage_exp/screening/lpips_200/images/D00_D00_longitudinal_crack_China_MotorBike_000725_prompt07_seed1787020838169289035_00001_.png,/root/autodl-tmp/road_damage_exp/screening/lpips_200/labels/D00_D00_longitudinal_crack_China_MotorBike_000725_prompt07_seed1787020838169289035_00001_.txt,0.5725612640380859,6,lpips_alex,Greedy Farthest Point Sampling
D00,D00_D00_longitudinal_crack_China_MotorBike_001313_prompt06_seed935857500483149178_00001_.png,D00_D00_longitudinal_crack_China_MotorBike_001313_prompt06_seed935857500483149178_00001_.png,/root/autodl-tmp/road_damage_exp/screening/four_class_structure_candidates/D00/images/D00_D00_longitudinal_crack_China_MotorBike_001313_prompt06_seed935857500483149178_00001_.png,/root/autodl-tmp/road_damage_exp/screening/four_class_structure_candidates/D00/labels/D00_D00_longitudinal_crack_China_MotorBike_001313_prompt06_seed935857500483149178_00001_.txt,/root/autodl-tmp/road_damage_exp/screening/lpips_200/images/D00_D00_longitudinal_crack_China_MotorBike_001313_prompt06_seed935857500483149178_00001_.png,/root/autodl-tmp/road_damage_exp/screening/lpips_200/labels/D00_D00_longitudinal_crack_China_MotorBike_001313_prompt06_seed935857500483149178_00001_.txt,0.5292677879333496,7,lpips_alex,Greedy Farthest Point Sampling
D00,D00_D00_longitudinal_crack_China_MotorBike_000526_prompt10_seed1547426234437170964_00001_.png,D00_D00_longitudinal_crack_China_MotorBike_000526_prompt10_seed1547426234437170964_00001_.png,/root/autodl-tmp/road_damage_exp/screening/four_class_structure_candidates/D00/images/D00_D00_longitudinal_crack_China_MotorBike_000526_prompt10_seed1547426234437170964_00001_.png,/root/autodl-tmp/road_damage_exp/screening/four_class_structure_candidates/D00/labels/D00_D00_longitudinal_crack_China_MotorBike_000526_prompt10_seed1547426234437170964_00001_.txt,/root/autodl-tmp/road_damage_exp/screening/lpips_200/images/D00_D00_longitudinal_crack_China_MotorBike_000526_prompt10_seed1547426234437170964_00001_.png,/root/autodl-tmp/road_damage_exp/screening/lpips_200/labels/D00_D00_longitudinal_crack_China_MotorBike_000526_prompt10_seed1547426234437170964_00001_.txt,0.5080595016479492,8,lpips_alex,Greedy Farthest Point Sampling
D00,D00_D00_longitudinal_crack_China_MotorBike_000364_prompt06_seed2720251508225841406_00001_.png,D00_D00_longitudinal_crack_China_MotorBike_000364_prompt06_seed2720251508225841406_00001_.png,/root/autodl-tmp/road_damage_exp/screening/four_class_structure_candidates/D00/images/D00_D00_longitudinal_crack_China_MotorBike_000364_prompt06_seed2720251508225841406_00001_.png,/root/autodl-tmp/road_damage_exp/screening/four_class_structure_candidates/D00/labels/D00_D00_longitudinal_crack_China_MotorBike_000364_prompt06_seed2720251508225841406_00001_.txt,/root/autodl-tmp/road_damage_exp/screening/lpips_200/images/D00_D00_longitudinal_crack_China_MotorBike_000364_prompt06_seed2720251508225841406_00001_.png,/root/autodl-tmp/road_damage_exp/screening/lpips_200/labels/D00_D00_longitudinal_crack_China_MotorBike_000364_prompt06_seed2720251508225841406_00001_.txt,0.4952642321586609,9,lpips_alex,Greedy Farthest Point Sampling
D00,D00_D00_longitudinal_crack_China_MotorBike_001770_prompt08_seed114843318189349834_00001_.png,D00_D00_longitudinal_crack_China_MotorBike_001770_prompt08_seed114843318189349834_00001_.png,/root/autodl-tmp/road_damage_exp/screening/four_class_structure_candidates/D00/images/D00_D00_longitudinal_crack_China_MotorBike_001770_prompt08_seed114843318189349834_00001_.png,/root/autodl-tmp/road_damage_exp/screening/four_class_structure_candidates/D00/labels/D00_D00_longitudinal_crack_China_MotorBike_001770_prompt08_seed114843318189349834_00001_.txt,/root/autodl-tmp/road_damage_exp/screening/lpips_200/images/D00_D00_longitudinal_crack_China_MotorBike_001770_prompt08_seed114843318189349834_00001_.png,/root/autodl-tmp/road_damage_exp/screening/lpips_200/labels/D00_D00_longitudinal_crack_China_MotorBike_001770_prompt08_seed114843318189349834_00001_.txt,0.4920157790184021,10,lpips_alex,Greedy Farthest Point Sampling
