generation_index,source_sample_id,source_image_path,source_label_path,source_image_sha256,source_label_sha256,source_split,is_negative,anchor_class,class_ids,prompt,seed,width,height,num_inference_steps,guidance_scale,scheduler,base_output_filename,rgda_output_filename,rgda_checkpoint_sha256
0,formal_train_0002,,,fc5031b3c928f33ec72954918ce5b04b82742f2b082fa5df6b7ee7b81e6cc4af,015cec094e6afa2d1371cec2f61423b56c94d84ec7a610f24f69372497ea1fc0,train,false,D10,,a Czech road surface with transverse crack and pothole damage,202600000,512,512,28,4.5,FlowMatchEulerDiscreteScheduler,sd3base_0000_formal_train_0002.png,sd3rgda_0000_formal_train_0002.png,dca7d04a8b90b317724bd3572b21b91304f9c98fa36014208cc695df34489bc2
1,formal_train_0007,,,c5c83b976ff921897c0da6ce77246ee7f3758a831f989a5546eb452e5188cdc2,d7ec1cf3e30bb5463037c41bdbcc346dfce0b21d214434b410ff155a64c65979,train,false,D10,,a Czech road surface with transverse crack damage,202600001,512,512,28,4.5,FlowMatchEulerDiscreteScheduler,sd3base_0001_formal_train_0007.png,sd3rgda_0001_formal_train_0007.png,dca7d04a8b90b317724bd3572b21b91304f9c98fa36014208cc695df34489bc2
2,formal_train_0008,,,3a8cfa040380a30fb5a30b69bc5cc420df18a252628459334d839a4ff53a961b,77efce8d99bd3936d155aad9887c126432c7e4c7482903222ee7306b2a7b165b,train,false,D10,,a Czech road surface with transverse crack damage,202600002,512,512,28,4.5,FlowMatchEulerDiscreteScheduler,sd3base_0002_formal_train_0008.png,sd3rgda_0002_formal_train_0008.png,dca7d04a8b90b317724bd3572b21b91304f9c98fa36014208cc695df34489bc2
3,formal_train_0009,,,1edf70674d37638c7aed0ad074c6fa06c6502b6a6b843d4fc5e7cd67536c0520,538d632347d9473b75387439c3bdc1e8d2fa96b0b1a86691b8899bef62c9a979,train,false,D00,,a Czech road surface with longitudinal crack damage,202600003,512,512,28,4.5,FlowMatchEulerDiscreteScheduler,sd3base_0003_formal_train_0009.png,sd3rgda_0003_formal_train_0009.png,dca7d04a8b90b317724bd3572b21b91304f9c98fa36014208cc695df34489bc2
4,formal_train_0017,,,75a6145095bf4810c19abebd6aa0802ee32e817a796eef8da56f9fde8fbb93c4,8b5cb326a5ac643e04dcbaf7f12ba606ab9c013b123a1447dcd4c1dfa4c36baf,train,false,D10,,a Czech road surface with transverse crack and pothole damage,202600004,512,512,28,4.5,FlowMatchEulerDiscreteScheduler,sd3base_0004_formal_train_0017.png,sd3rgda_0004_formal_train_0017.png,dca7d04a8b90b317724bd3572b21b91304f9c98fa36014208cc695df34489bc2
5,formal_train_0018,,,b24e0fa1e9e7dc5cdc3bcc6acf1d7ca0f9c7c0d7be792305fc59d027e8c2c2b1,252ff361030d94e189328ba64513f2f06218d5f3bd613ca04c61ce5cb12a6d0c,train,false,D20,,a Czech road surface with alligator crack damage,202600005,512,512,28,4.5,FlowMatchEulerDiscreteScheduler,sd3base_0005_formal_train_0018.png,sd3rgda_0005_formal_train_0018.png,dca7d04a8b90b317724bd3572b21b91304f9c98fa36014208cc695df34489bc2
6,formal_train_0023,,,5358013edbac5e23973f0c32453d7aaf2e007fd885025eb5024de8f9c3e374b1,25339410908098bb8fa9d7105e702990fe7b8035daae7a741b2fc15678583da1,train,false,D00,,a Czech road surface with longitudinal crack damage,202600006,512,512,28,4.5,FlowMatchEulerDiscreteScheduler,sd3base_0006_formal_train_0023.png,sd3rgda_0006_formal_train_0023.png,dca7d04a8b90b317724bd3572b21b91304f9c98fa36014208cc695df34489bc2
7,formal_train_0024,,,0d649a01bf38f34d74d36b7e17a5db4ba20a60063090d4c7c9aff468e0ec6033,54ae7c1c231832534a8bdfea8511216376b487e952ac76d315e6181f7f4fb7e0,train,false,D00,,a Czech road surface with longitudinal crack and transverse crack damage,202600007,512,512,28,4.5,FlowMatchEulerDiscreteScheduler,sd3base_0007_formal_train_0024.png,sd3rgda_0007_formal_train_0024.png,dca7d04a8b90b317724bd3572b21b91304f9c98fa36014208cc695df34489bc2
8,formal_train_0027,,,a9b343b913b22b2a9e92c7d45352362efca327f2cd4a9ef40c05f09ed93c6492,53499857b0abeb43a896bcb7f17f83c0654ef3f17b687815b3e001ee625a9a06,train,false,D00,,a Czech road surface with longitudinal crack damage,202600008,512,512,28,4.5,FlowMatchEulerDiscreteScheduler,sd3base_0008_formal_train_0027.png,sd3rgda_0008_formal_train_0027.png,dca7d04a8b90b317724bd3572b21b91304f9c98fa36014208cc695df34489bc2
9,formal_train_0029,,,f77709fd4bf5a9a196caed8d433c2b8755ba8a0b5428e39d6b1e44701d12e2ba,4a8cd37106a38179ae6f3f3dd6c8f716750d0ea81239e7f549c68b8cdcfd782e,train,false,D40,,a Czech road surface with pothole damage,202600009,512,512,28,4.5,FlowMatchEulerDiscreteScheduler,sd3base_0009_formal_train_0029.png,sd3rgda_0009_formal_train_0029.png,dca7d04a8b90b317724bd3572b21b91304f9c98fa36014208cc695df34489bc2
10,formal_train_0032,,,b08776e54fa3a7875e038954d40ff4024df131e89a2d21270ac70dd3d3c5456b,73961c09777582dc76f283626e818d9959cc931e7e62040be28ebde4bc6411b0,train,false,D00,,a Czech road surface with longitudinal crack damage,202600010,512,512,28,4.5,FlowMatchEulerDiscreteScheduler,sd3base_0010_formal_train_0032.png,sd3rgda_0010_formal_train_0032.png,dca7d04a8b90b317724bd3572b21b91304f9c98fa36014208cc695df34489bc2
11,formal_train_0035,,,2a5d38601f5af5f1bd48d5fe93490655d1d43ed7133922681bd278413fd014e4,dee70448ff4df1f45bb71e6df9fb95c4b00e3bc12f5c12b2c0a089e75dec809c,train,false,D00,,a Czech road surface with longitudinal crack and transverse crack damage,202600011,512,512,28,4.5,FlowMatchEulerDiscreteScheduler,sd3base_0011_formal_train_0035.png,sd3rgda_0011_formal_train_0035.png,dca7d04a8b90b317724bd3572b21b91304f9c98fa36014208cc695df34489bc2
12,formal_train_0039,,,b1ca72d14e7425e398da129c072f3808dce2f503822737bc0e64157660390789,009b9a354701b2f85f5ef96076cc91fbf67d8fed7e2475d216b9e95d73817b03,train,false,D10,,a Czech road surface with transverse crack damage,202600012,512,512,28,4.5,FlowMatchEulerDiscreteScheduler,sd3base_0012_formal_train_0039.png,sd3rgda_0012_formal_train_0039.png,dca7d04a8b90b317724bd3572b21b91304f9c98fa36014208cc695df34489bc2
